publication,chapter,target_doc,target_chapter,gram_id,vessel_name,topic_type,sequence,topic_filename,display_text,link_href,glc_path,time_end,bandwidth,bandcentre,png_path,target_ext,file_size,wav_treatment,warnings,analysis_doc_path,master_png_path,target_gram_id
main,Instructor Week 1 Grams,,1,1,"FR Razor Crest, Category 3, Mustafar",glc,1,gram_1.dita,Lofar 1,Instructor Week 1 Grams Files/Gram 1/Lofar 1_b.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 1/Lofar 1_b.glc,156,100,50,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 1/Lofar 1_b.png,.png,166959,,,,,
main,Instructor Week 1 Grams,,1,1,"FR Razor Crest, Category 3, Mustafar",analysis,1,gram_1.dita,,,,,,,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 1/Analysis Sheet.png,.png,16976,,,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 1/Analysis Sheet.docx,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",demon,1,gram_2.dita,,,,232,40,20,demo/demon-incoming/Instructor Week 1 Grams/Gram 2/Demon - 0-40Hz.png,.png,597192,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",demon,2,gram_2.dita,,,,232,40,20,demo/demon-incoming/Instructor Week 1 Grams/Gram 2/4m10s_Demon - 0 - 40 Hz.png,.png,597192,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",glc,1,gram_2.dita,Lofar 1,Instructor Week 1 Grams Files/Gram 2/Lofar 1.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 1.glc,156,100,50,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 1.png,.png,166985,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",glc,2,gram_2.dita,Lofar 2,Instructor Week 1 Grams Files/Gram 2/Lofar 2_a.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 2_a.glc,156,800,400,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 2_a.png,.png,166959,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",glc,3,gram_2.dita,Lofar 3,Instructor Week 1 Grams Files/Gram 2/Lofar 3 Loop 2.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 3 Loop 2.glc,156,800,400,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 3 Loop 2.png,.png,166829,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",glc,4,gram_2.dita,Lofar 4,Instructor Week 1 Grams Files/Gram 2/Lofar 4 I.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 4 I.glc,156,800,400,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Lofar 4 I.png,.png,166985,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",glc,5,gram_2.dita,Lofar 5,Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.glc,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.glc,156,400,200,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 13/Lofar 3 ABC.png,.png,166985,,,,,
main,Instructor Week 1 Grams,,1,2,"FR Tantive IV, Category 1, Romulus",analysis,1,gram_2.dita,,,,,,,source/Instructor Week 1 Grams/Instructor Week 1 Grams Files/Gram 2/Analysis.png,.png,41011,,,,,
