publication,chapter,gram_id,vessel_name,topic_type,sequence,topic_filename,display_text,link_href,glc_path,time_end,freq_end,png_path,file_size,wav_treatment,warnings
main,Instructor Progress Final Assessment Grams,1,"FR TIE Bomber, Category 3, Tatooine",glc,1,gram_1.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 1/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 1/Lofar 1.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 1/Lofar 1.wav,844,,
main,Instructor Progress Final Assessment Grams,1,"FR TIE Bomber, Category 3, Tatooine",analysis,1,gram_1.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 1/Analysis Sheet.docx,1000,,
main,Instructor Progress Final Assessment Grams,2,"FR Sovereign-class, Category 1, Tatooine",glc,1,gram_2.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 1 Loop 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 1 Loop 2.glc,180,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 1 Loop 2.png,166985,,
main,Instructor Progress Final Assessment Grams,2,"FR Sovereign-class, Category 1, Tatooine",glc,2,gram_2.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 2 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 2 I.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 2 I.png,166829,,
main,Instructor Progress Final Assessment Grams,2,"FR Sovereign-class, Category 1, Tatooine",glc,3,gram_2.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 3_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 3_b.glc,240,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Lofar 3_b.png,166975,,
main,Instructor Progress Final Assessment Grams,2,"FR Sovereign-class, Category 1, Tatooine",analysis,1,gram_2.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 2/Analysis Sheet.docx,1002,,
main,Instructor Progress Final Assessment Grams,3,"FR TIE Fighter, Category 4, Mustafar",glc,1,gram_3.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 1.glc,271,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 1.png,166985,,
main,Instructor Progress Final Assessment Grams,3,"FR TIE Fighter, Category 4, Mustafar",glc,2,gram_3.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 2.glc,271,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 2.png,166959,,
main,Instructor Progress Final Assessment Grams,3,"FR TIE Fighter, Category 4, Mustafar",glc,3,gram_3.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 3 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 3 Loop 1.glc,180,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Lofar 3 Loop 1.png,166959,,
main,Instructor Progress Final Assessment Grams,3,"FR TIE Fighter, Category 4, Mustafar",analysis,1,gram_3.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 3/Analysis Sheet.docx,1002,,
main,Instructor Progress Final Assessment Grams,4,"FR Intrepid-class, Category 4, Mustafar",glc,1,gram_4.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 1_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 1_b.glc,240,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 1_b.png,166959,,
main,Instructor Progress Final Assessment Grams,4,"FR Intrepid-class, Category 4, Mustafar",glc,2,gram_4.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 2 Loop 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 2 Loop 2.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 2 Loop 2.png,166959,,
main,Instructor Progress Final Assessment Grams,4,"FR Intrepid-class, Category 4, Mustafar",glc,3,gram_4.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 3_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 3_a.glc,271,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Lofar 3_a.wav,844,,
main,Instructor Progress Final Assessment Grams,4,"FR Intrepid-class, Category 4, Mustafar",analysis,1,gram_4.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 4/Analysis Sheet.docx,1002,,
main,Instructor Progress Final Assessment Grams,7,"FR Discovery, Category 1, Dagobah",glc,1,gram_7.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 7/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 7/Lofar 1.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 7/Lofar 1.png,166985,,
main,Instructor Progress Final Assessment Grams,7,"FR Discovery, Category 1, Dagobah",analysis,1,gram_7.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 7/Analysis Sheet.docx,998,,
main,Instructor Progress Final Assessment Grams,8,"Miranda-class contact bearing 288, codename Dank",glc,1,gram_8.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 1_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 1_a.glc,360,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 1_a.png,166985,,
main,Instructor Progress Final Assessment Grams,8,"Miranda-class contact bearing 288, codename Dank",glc,2,gram_8.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 2_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 2_a.glc,300,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 2_a.png,166959,,
main,Instructor Progress Final Assessment Grams,8,"Miranda-class contact bearing 288, codename Dank",glc,3,gram_8.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 3 Loop 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 3 Loop 2.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 3 Loop 2.png,166829,,
main,Instructor Progress Final Assessment Grams,8,"Miranda-class contact bearing 288, codename Dank",glc,4,gram_8.dita,Lofar 4,Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 4 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 4 I.glc,360,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Lofar 4 I.png,166985,,
main,Instructor Progress Final Assessment Grams,8,"Miranda-class contact bearing 288, codename Dank",analysis,1,gram_8.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 8/Analysis Sheet.docx,1004,,
main,Instructor Progress Final Assessment Grams,9,"Enterprise contact bearing 084, codename Yavin",glc,1,gram_9.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 1.glc,360,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 1.png,166985,,
main,Instructor Progress Final Assessment Grams,9,"Enterprise contact bearing 084, codename Yavin",glc,2,gram_9.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 2 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 2 I.glc,271,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 9/Lofar 2 I.png,166829,,
main,Instructor Progress Final Assessment Grams,9,"Enterprise contact bearing 084, codename Yavin",analysis,1,gram_9.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 9/Analysis Sheet.docx,1003,,
main,Instructor Progress Final Assessment Grams,10,"FR A-wing, Category 3, Risa",glc,1,gram_10.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 10/Lofar 1 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 10/Lofar 1 Loop 1.glc,271,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 10/Lofar 1 Loop 1.png,166975,,
main,Instructor Progress Final Assessment Grams,10,"FR A-wing, Category 3, Risa",analysis,1,gram_10.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 10/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,11,"FR Star Destroyer, Category 1, Vulcan",glc,1,gram_11.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 11/Lofar 1_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 11/Lofar 1_b.glc,300,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 11/Lofar 1_b.png,166959,,
main,Instructor Progress Final Assessment Grams,11,"FR Star Destroyer, Category 1, Vulcan",analysis,1,gram_11.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 11/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,12,"Venator-class contact bearing 330, codename Dank",glc,1,gram_12.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 1.glc,271,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 1.png,166985,,
main,Instructor Progress Final Assessment Grams,12,"Venator-class contact bearing 330, codename Dank",glc,2,gram_12.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 2 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 2 I.glc,180,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 2 I.png,166829,,
main,Instructor Progress Final Assessment Grams,12,"Venator-class contact bearing 330, codename Dank",glc,3,gram_12.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 3 ABC.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 3 ABC.glc,360,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 3 ABC.png,166985,,
main,Instructor Progress Final Assessment Grams,12,"Venator-class contact bearing 330, codename Dank",glc,4,gram_12.dita,Lofar 4,Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 4 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 4 Loop 1.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Lofar 4 Loop 1.png,166829,,
main,Instructor Progress Final Assessment Grams,12,"Venator-class contact bearing 330, codename Dank",analysis,1,gram_12.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 12/Analysis Sheet.docx,1005,,
main,Instructor Progress Final Assessment Grams,13,"FR Outrider, Category 1, Coruscant",glc,1,gram_13.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 1 Loop 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 1 Loop 2.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 1 Loop 2.png,166985,,
main,Instructor Progress Final Assessment Grams,13,"FR Outrider, Category 1, Coruscant",glc,2,gram_13.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 2_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 2_a.glc,300,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 2_a.png,166959,,
main,Instructor Progress Final Assessment Grams,13,"FR Outrider, Category 1, Coruscant",glc,3,gram_13.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 3_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 3_a.glc,300,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Lofar 3_a.png,166829,,
main,Instructor Progress Final Assessment Grams,13,"FR Outrider, Category 1, Coruscant",analysis,1,gram_13.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 13/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,14,"Cerritos contact bearing 210, codename Betazed",glc,1,gram_14.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 1 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 1 Loop 1.glc,271,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 1 Loop 1.png,166975,,
main,Instructor Progress Final Assessment Grams,14,"Cerritos contact bearing 210, codename Betazed",glc,2,gram_14.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 2 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 2 I.glc,180,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 2 I.wav,844,,
main,Instructor Progress Final Assessment Grams,14,"Cerritos contact bearing 210, codename Betazed",glc,3,gram_14.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 3 ABC.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 3 ABC.glc,271,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 3 ABC.wav,844,,
main,Instructor Progress Final Assessment Grams,14,"Cerritos contact bearing 210, codename Betazed",glc,4,gram_14.dita,Lofar 4,Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 4_a.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 4_a.glc,240,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Lofar 4_a.png,166975,,
main,Instructor Progress Final Assessment Grams,14,"Cerritos contact bearing 210, codename Betazed",analysis,1,gram_14.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 14/Analysis Sheet.docx,1003,,
main,Instructor Progress Final Assessment Grams,15,"FR Voyager, Category 1, Gandalf",glc,1,gram_15.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 1 I.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 1 I.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 1 I.wav,844,,
main,Instructor Progress Final Assessment Grams,15,"FR Voyager, Category 1, Gandalf",glc,2,gram_15.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 2 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 2 Loop 1.glc,271,800,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 15/Lofar 2 Loop 1.png,166985,,
main,Instructor Progress Final Assessment Grams,15,"FR Voyager, Category 1, Gandalf",analysis,1,gram_15.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 15/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,16,"FR Intrepid-class, Category 2, Tatooine",glc,1,gram_16.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 1 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 1 Loop 1.glc,271,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 1 Loop 1.png,166975,,
main,Instructor Progress Final Assessment Grams,16,"FR Intrepid-class, Category 2, Tatooine",glc,2,gram_16.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 2 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 2 Loop 1.glc,271,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 2 Loop 1.png,166985,,
main,Instructor Progress Final Assessment Grams,16,"FR Intrepid-class, Category 2, Tatooine",glc,3,gram_16.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 3 ABC.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 3 ABC.glc,240,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Lofar 3 ABC.wav,844,,
main,Instructor Progress Final Assessment Grams,16,"FR Intrepid-class, Category 2, Tatooine",analysis,1,gram_16.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 16/Analysis Sheet.docx,1002,,
main,Instructor Progress Final Assessment Grams,18,"FR B-wing, Category 3, Mustafar",glc,1,gram_18.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 1.glc,180,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 1.png,166985,,
main,Instructor Progress Final Assessment Grams,18,"FR B-wing, Category 3, Mustafar",glc,2,gram_18.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 2_b.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 2_b.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 2_b.png,166829,,
main,Instructor Progress Final Assessment Grams,18,"FR B-wing, Category 3, Mustafar",glc,3,gram_18.dita,Lofar 3,Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 3 Loop 2.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 3 Loop 2.glc,240,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 3 Loop 2.wav,844,,
main,Instructor Progress Final Assessment Grams,18,"FR B-wing, Category 3, Mustafar",glc,4,gram_18.dita,Lofar 4,Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 4 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 4 Loop 1.glc,180,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Lofar 4 Loop 1.png,166829,,
main,Instructor Progress Final Assessment Grams,18,"FR B-wing, Category 3, Mustafar",analysis,1,gram_18.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 18/Analysis.png,41011,,
main,Instructor Progress Final Assessment Grams,19,"FR X-wing, Category 3, Dagobah",glc,1,gram_19.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 1 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 1 Loop 1.glc,360,100,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 1 Loop 1.wav,844,,
main,Instructor Progress Final Assessment Grams,19,"FR X-wing, Category 3, Dagobah",glc,2,gram_19.dita,Lofar 2,Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 2 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 2 Loop 1.glc,300,200,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 19/Lofar 2 Loop 1.png,166985,,
main,Instructor Progress Final Assessment Grams,19,"FR X-wing, Category 3, Dagobah",analysis,1,gram_19.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 19/Analysis Sheet.docx,998,,
main,Instructor Progress Final Assessment Grams,22,"FR Razor Crest, Category 4, Dank",glc,1,gram_22.dita,Lofar 1,Instructor Progress Final Assessment Grams Files/Gram 22/Lofar 1 Loop 1.glc,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 22/Lofar 1 Loop 1.glc,271,400,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 22/Lofar 1 Loop 1.png,166975,,
main,Instructor Progress Final Assessment Grams,22,"FR Razor Crest, Category 4, Dank",analysis,1,gram_22.dita,,,,,,Instructor Progress Final Assessment Grams/Instructor Progress Final Assessment Grams Files/Gram 22/Analysis Sheet.docx,999,,
